id,category,rank,name,location,imageurl,description,latitude,longitude,rate,total_reviews,excellent,very_good,average,poor,terrible
restaurants11,restaurants,11,La Colombe,"Constantia, South Africa",https://media-cdn.tripadvisor.com/media/photo-s/1c/b7/ad/70/img-20210307-180759-185.jpg,Can I award six stars? I will have to find a thesaurus to adequately describe the food. The service was also beyond fault.,-34.0283333,18.4155556,4.5,3172,"2,205",256,99,27,38
restaurants12,restaurants,12,Restaurante Origem,"Salvador, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/1c/3e/c5/6c/polvo-com-manioquinha.jpg,Outstanding tasty of the Brazilian cosine.,-12.9822499,-38.4812772,5.0,545,22,3,2,0,0
restaurants13,restaurants,13,The Grove,"Auckland Central, New Zealand",https://media-cdn.tripadvisor.com/media/photo-s/1b/07/cd/2d/cromwell-cherries-sweet.jpg,"A visual, gastronomic and service delight",-36.8430673,174.7691893,4.5,1854,"1,446",183,75,25,11
restaurants14,restaurants,14,Sails Restaurant,"Auckland Central, New Zealand",https://media-cdn.tripadvisor.com/media/photo-s/1c/b5/22/d3/kingfish-crudo-jalapeno.jpg,The cuisine at Sails is always delicious and beautifully presented. It's a great restaurant with a lovely outlook over Westhaven Marina and the harbour bridge.,-36.8430673,174.7691893,4.5,1408,"1,172",128,64,11,17
restaurants15,restaurants,15,PIC,"Valence, France",https://media-cdn.tripadvisor.com/media/photo-s/0f/07/de/5f/les-creations-d-anne.jpg,A must try ;),44.9332277,4.8920811,4.5,2293,135,19,9,3,3
restaurants16,restaurants,16,Ristorante Don Alfonso 1890,"Sant'Agata sui Due Golfi, Italy",https://media-cdn.tripadvisor.com/media/photo-s/1c/04/a9/2b/photo8jpg.jpg,"Exceptional experience, and one we'll always remember!",40.6070492,14.3732936,5.0,1566,452,32,17,12,4
restaurants17,restaurants,17,Akira Back,"Bangkok, Thailand",https://media-cdn.tripadvisor.com/media/photo-s/17/7f/a4/31/akira-back-yukhoe.jpg,"Dishes were delicious, inventive, and beautifully presented and the views on the 38th floor just above the restaurant were a nice end to our evening.",13.7524938,100.4935089,5.0,1072,800,64,18,9,3
restaurants18,restaurants,18,Maido,"Lima, Peru",https://media-cdn.tripadvisor.com/media/photo-s/08/d2/2a/76/frejoles-regionales.jpg,Noel Raimundo Decàn review of Maido,-12.0621065,-77.0365256,4.5,4006,"1,131",164,95,29,27
restaurants19,restaurants,19,Lahaina Grill,"Lahaina, Hawaii",https://media-cdn.tripadvisor.com/media/photo-s/12/10/11/36/dining-room-at-lahaina.jpg,This place is like home. It makes you feel like the most important guest. Food is exceptional and the service is fantastic.,20.8738769,-156.677678,4.5,4903,"3,891",550,212,82,37
restaurants20,restaurants,20,5 Gourmet Restaurant & Bar,"Stuttgart, Germany",https://media-cdn.tripadvisor.com/media/photo-s/1d/0b/65/64/passion-von-alexander.jpg,Fantastic gourmet dinner in the heart of Stuttgart!!!,48.7784485,9.1800132,5.0,1116,142,15,3,1,0
restaurants21,restaurants,21,Chila,"Buenos Aires, Argentina",https://media-cdn.tripadvisor.com/media/photo-s/1c/8a/c1/78/opened-kitchen.jpg,Buenos Aires' Degustation Adventure,-34.6075682,-58.4370894,4.5,1503,340,59,25,9,2
restaurants22,restaurants,22,Summer Pavilion,"Singapore, Singapore",https://media-cdn.tripadvisor.com/media/photo-s/14/74/f8/6d/chilled-purple-sweet.jpg,"Impressive service, wonderful CNY dinner!",1.2899175,103.8519072,4.5,1079,823,105,26,14,7
restaurants23,restaurants,23,Tin Lung Heen,"Hong Kong, China",https://media-cdn.tripadvisor.com/media/photo-s/09/50/38/cd/tin-lung-heen.jpg,Attentive service makes the excellent food taste even better.,22.2793278,114.1628131,4.5,1675,914,148,40,15,14
restaurants24,restaurants,24,"Mandarin Grill + Bar at Mandarin Oriental, Hong Kong","Hong Kong, China",https://media-cdn.tripadvisor.com/media/photo-s/1c/a8/93/4e/classics-smoked-salmon.jpg,Brilliant food and service on birthday,22.2793278,114.1628131,4.5,1172,783,114,27,16,5
restaurants25,restaurants,25,Restaurante 1621,"Cartagena, Colombia",https://media-cdn.tripadvisor.com/media/photo-s/22/09/a5/6c/un-comedor-de-400-anos.jpg,"Dining at this beautiful location, with such a rich history was an incredible experience. The food on the tasting menu was phenomenal...",10.4195841,-75.5271224,4.5,2096,654,99,50,22,9
