category,rank,name,location,imageurl,description,latitude,longitude,ratingurl
restaurants,11,La Colombe,"Constantia, South Africa",https://media-cdn.tripadvisor.com/media/photo-s/1c/b7/ad/70/img-20210307-180759-185.jpg,Can I award six stars? I will have to find a thesaurus to adequately describe the food. The service was also beyond fault.,-34.0283333,18.4155556,/Restaurant_Review-g312660-d1009903-Reviews-La_Colombe-Constantia_Western_Cape.html
restaurants,12,Restaurante Origem,"Salvador, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/1c/3e/c5/6c/polvo-com-manioquinha.jpg,Outstanding tasty of the Brazilian cosine.,-12.9822499,-38.4812772,/Restaurant_Review-g303272-d10715594-Reviews-Restaurante_Origem-Salvador_State_of_Bahia.html
restaurants,13,The Grove,"Auckland Central, New Zealand",https://media-cdn.tripadvisor.com/media/photo-s/1b/07/cd/2d/cromwell-cherries-sweet.jpg,"A visual, gastronomic and service delight",-36.8430673,174.7691893,/Restaurant_Review-g255106-d726050-Reviews-The_Grove-Auckland_Central_North_Island.html
restaurants,14,Sails Restaurant,"Auckland Central, New Zealand",https://media-cdn.tripadvisor.com/media/photo-s/1c/b5/22/d3/kingfish-crudo-jalapeno.jpg,The cuisine at Sails is always delicious and beautifully presented. It's a great restaurant with a lovely outlook over Westhaven Marina and the harbour bridge.,-36.8430673,174.7691893,/Restaurant_Review-g255106-d725114-Reviews-Sails_Restaurant-Auckland_Central_North_Island.html
restaurants,15,PIC,"Valence, France",https://media-cdn.tripadvisor.com/media/photo-s/0f/07/de/5f/les-creations-d-anne.jpg,A must try ;),44.9332277,4.8920811,/Restaurant_Review-g187272-d719830-Reviews-PIC-Valence_Drome_Auvergne_Rhone_Alpes.html
restaurants,16,Ristorante Don Alfonso 1890,"Sant'Agata sui Due Golfi, Italy",https://media-cdn.tripadvisor.com/media/photo-s/1c/04/a9/2b/photo8jpg.jpg,"Exceptional experience, and one we'll always remember!",40.6070492,14.3732936,/Restaurant_Review-g644245-d716377-Reviews-Ristorante_Don_Alfonso_1890-Sant_Agata_sui_Due_Golfi_Massa_Lubrense_Province_of_Na.html
restaurants,17,Akira Back,"Bangkok, Thailand",https://media-cdn.tripadvisor.com/media/photo-s/17/7f/a4/31/akira-back-yukhoe.jpg,"Dishes were delicious, inventive, and beautifully presented and the views on the 38th floor just above the restaurant were a nice end to our evening.",13.7524938,100.4935089,/Restaurant_Review-g293916-d13275747-Reviews-Akira_Back-Bangkok.html
restaurants,18,Maido,"Lima, Peru",https://media-cdn.tripadvisor.com/media/photo-s/08/d2/2a/76/frejoles-regionales.jpg,Noel Raimundo Decàn review of Maido,-12.0621065,-77.0365256,/Restaurant_Review-g294316-d1759465-Reviews-Maido-Lima_Lima_Region.html
restaurants,19,Lahaina Grill,"Lahaina, Hawaii",https://media-cdn.tripadvisor.com/media/photo-s/12/10/11/36/dining-room-at-lahaina.jpg,This place is like home. It makes you feel like the most important guest. Food is exceptional and the service is fantastic.,20.8738769,-156.677678,/Restaurant_Review-g60634-d404360-Reviews-Lahaina_Grill-Lahaina_Maui_Hawaii.html
restaurants,20,5 Gourmet Restaurant & Bar,"Stuttgart, Germany",https://media-cdn.tripadvisor.com/media/photo-s/1d/0b/65/64/passion-von-alexander.jpg,Fantastic gourmet dinner in the heart of Stuttgart!!!,48.7784485,9.1800132,/Restaurant_Review-g187291-d2142723-Reviews-5-Stuttgart_Baden_Wurttemberg.html
restaurants,21,Chila,"Buenos Aires, Argentina",https://media-cdn.tripadvisor.com/media/photo-s/1c/8a/c1/78/opened-kitchen.jpg,Buenos Aires' Degustation Adventure,-34.6075682,-58.4370894,/Restaurant_Review-g312741-d1748914-Reviews-Chila-Buenos_Aires_Capital_Federal_District.html
restaurants,22,Summer Pavilion,"Singapore, Singapore",https://media-cdn.tripadvisor.com/media/photo-s/14/74/f8/6d/chilled-purple-sweet.jpg,"Impressive service, wonderful CNY dinner!",1.2899175,103.8519072,/Restaurant_Review-g294265-d796940-Reviews-Summer_Pavilion-Singapore.html
restaurants,23,Tin Lung Heen,"Hong Kong, China",https://media-cdn.tripadvisor.com/media/photo-s/09/50/38/cd/tin-lung-heen.jpg,Attentive service makes the excellent food taste even better.,22.2793278,114.1628131,/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html
restaurants,24,"Mandarin Grill + Bar at Mandarin Oriental, Hong Kong","Hong Kong, China",https://media-cdn.tripadvisor.com/media/photo-s/1c/a8/93/4e/classics-smoked-salmon.jpg,Brilliant food and service on birthday,22.2793278,114.1628131,/Restaurant_Review-g294217-d941989-Reviews-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html
restaurants,25,Restaurante 1621,"Cartagena, Colombia",https://media-cdn.tripadvisor.com/media/photo-s/22/09/a5/6c/un-comedor-de-400-anos.jpg,"Dining at this beautiful location, with such a rich history was an incredible experience. The food on the tasting menu was phenomenal...",10.4195841,-75.5271224,/Restaurant_Review-g297476-d2140318-Reviews-Restaurante_1621-Cartagena_Cartagena_District_Bolivar_Department.html
